mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X 
125.000000 300.000000 -0.650000 17.410000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 17.780000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 18.150000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 18.520000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 18.890000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 19.260000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 19.630000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 20.000000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.624000 1.500000 -1.000000 1.000000 0.000000 227.243509 2.651648e+00 0 1 1 20.386058 3.205781e-01 1.484036e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 1.870000 -1.000000 1.000000 0.000000 234.740655 1.973323e+00 0 1 1 20.386058 3.819047e+00 2.283334e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 2.240000 -1.000000 1.000000 0.000000 234.796965 1.510176e+00 0 1 1 20.386058 7.797912e+00 3.262082e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 2.610000 -1.000000 1.000000 0.000000 234.814255 1.208122e+00 0 1 1 20.386058 1.184131e+01 4.418888e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 2.980000 -1.000000 1.000000 0.000000 234.822115 9.990135e-01 0 1 1 20.386058 1.599476e+01 5.753168e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 3.350000 -1.000000 1.000000 0.000000 234.826316 8.466258e-01 0 1 1 20.386058 2.030718e+01 7.264641e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 3.720000 -1.000000 1.000000 0.000000 234.858178 7.311251e-01 0 1 1 20.386058 2.481158e+01 8.953157e-03 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 4.090000 -1.000000 1.000000 0.000000 234.859631 6.408990e-01 0 1 1 20.386058 2.952971e+01 1.081863e-02 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 4.460000 -1.000000 1.000000 0.000000 234.860430 5.687243e-01 0 1 1 20.386058 3.447623e+01 1.286102e-02 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 4.830000 -1.000000 1.000000 0.000000 234.860788 5.098770e-01 0 1 1 20.386058 3.966134e+01 1.508028e-02 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
125.000000 300.000000 -0.624000 5.200000 -1.000000 1.000000 0.000000 234.860831 4.611374e-01 0 1 1 20.386058 4.509235e+01 1.747639e-02 -5.127360e-03 3.306086e-02 5.347063e-03 -4.253238e-04 3.561282e-04 -9.769540e-05
