mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X 
125.000000 350.000000 -0.624000 7.790000 -1.000000 1.000000 0.000000 221.192358 8.175649e-01 0 1 0 142.340688 9.359122e-02 1.980717e-01 2.844037e+02 1.387779e-17 1.110223e-16 9.355916e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 8.160000 -1.000000 1.000000 0.000000 225.293201 8.943231e-01 0 1 0 142.340688 1.013437e-01 2.173349e-01 2.844037e+02 0.000000e+00 6.661338e-16 8.982940e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 8.530000 -1.000000 1.000000 0.000000 228.979975 9.752381e-01 0 1 0 142.340688 1.094068e-01 2.374921e-01 2.844037e+02 3.469447e-17 5.551115e-16 8.637549e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 8.900000 -1.000000 1.000000 0.000000 232.741855 1.060041e+00 0 1 0 142.340688 1.177807e-01 2.585433e-01 2.844037e+02 -1.040834e-16 3.330669e-16 8.316929e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 9.270000 -1.000000 1.000000 0.000000 236.407420 1.147982e+00 0 1 0 142.340688 1.264653e-01 2.804885e-01 2.844037e+02 -8.326673e-17 5.551115e-16 8.018613e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 9.640000 -1.000000 1.000000 0.000000 239.858353 1.239709e+00 0 1 0 142.340688 1.354607e-01 3.033277e-01 2.844037e+02 -3.469447e-18 2.220446e-16 7.740431e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 10.010000 -1.000000 1.000000 0.000000 243.081724 1.333333e+00 0 1 0 142.340688 1.447669e-01 3.270608e-01 2.844037e+02 -3.469447e-17 -2.220446e-16 7.480474e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 10.380000 -1.000000 1.000000 0.000000 245.912399 1.432168e+00 0 1 0 142.340688 1.543839e-01 3.516879e-01 2.844037e+02 -1.075529e-16 4.440892e-16 7.237057e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 10.750000 -1.000000 1.000000 0.000000 248.675389 1.532934e+00 0 1 0 142.340688 1.643117e-01 3.772088e-01 2.844037e+02 3.122502e-17 -7.771561e-16 7.008690e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 11.120000 -1.000000 1.000000 0.000000 251.217174 1.638400e+00 0 1 0 142.340688 1.745503e-01 4.036236e-01 2.844037e+02 -1.283695e-16 -3.330669e-16 6.794048e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
125.000000 350.000000 -0.624000 11.490000 -1.000000 1.000000 0.000000 253.551027 1.747440e+00 0 1 0 142.340688 1.850997e-01 4.309323e-01 2.844037e+02 1.249001e-16 -7.771561e-16 6.591957e+03 1.004808e-02 1.938379e-02 1.774481e-03 1.512993e-03 8.886857e-04 -7.354689e-05
